Handle,Title,Status,Published,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy
alkaram-3-pc-embroidered-jacquard-suit-with-fancy-dupatta-jc-8-23-2-orange,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10099,shopify,5,deny
alkaram-3-pc-embroidered-organza-suit-with-organza-dupatta-lc-04a-23-ochre,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10100,shopify,5,deny
alkaram-2-pc-embroidered-khaddar-suit-with-khaddar-trouser-nc-01-22-orange,Alkaram · Ladies Unstitched 2 piece,active,TRUE,KJC-LU-ALK-10101,shopify,5,deny
alkaram-3-pc-embroidered-jacquard-suit-with-jacquard-dupatta-67498,Alkaram · Ladies Unstitched Embroidered Jacquard 3 piece,active,TRUE,KJC-LU-ALK-10102,shopify,5,deny
alkaram-1-pc-printed-cotton-satin-shirt-60794,Alkaram · Ladies Unstitched Formal 1 piece,active,TRUE,KJC-LU-ALK-10103,shopify,5,deny
alkaram-arbor-egyptian-cotton-fmarb-23s-off-white,Alkaram · Ladies Unstitched Casual Cotton,active,TRUE,KJC-LU-ALK-10104,shopify,5,deny
alkaram-evolution-egyptian-cotton-67475,Alkaram · Ladies Unstitched Casual Cotton,active,TRUE,KJC-LU-ALK-10105,shopify,5,deny
alkaram-artistic-blended-fmarb-22w-mehndi,Alkaram · Ladies Unstitched Casual Viscose 1 piece,active,TRUE,KJC-LU-ALK-10106,shopify,5,deny
alkaram-cresta-blended-59835,Alkaram · Ladies Unstitched Casual,active,TRUE,KJC-LU-ALK-10107,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ms-66-1-25-1-green,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10108,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ms-76-25-1-orange,Alkaram · Ladies Unstitched Printed 3 piece,active,TRUE,KJC-LU-ALK-10109,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ms-76-25-1-off-white,Alkaram · Ladies Unstitched Printed 3 piece,active,TRUE,KJC-LU-ALK-10110,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ss-53-1-25-3-blue,Alkaram · Ladies Unstitched Printed 3 piece,active,TRUE,KJC-LU-ALK-10111,shopify,5,deny
alkaram-rts-shirt-trouser-dupatta-ss-51-1-25-3-blue,Alkaram · Ladies Unstitched Printed 3 piece,active,TRUE,KJC-LU-ALK-10112,shopify,5,deny
alkaram-3-piece-embroidered-dyed-self-jacquard-suit-with-printed-chiffon-dupatta-ss-31-1-25-2-beige,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10113,shopify,5,deny
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-33-24-2-off-white-ss-33-24-2-pink-off-white,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10114,shopify,5,deny
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-20-24-2-black-ss-20-24-2-beige,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10115,shopify,5,deny
alkaram-3-piece-printed-kirundi-suit-with-karandi-dupatta-fw-49-1-24-orange,Alkaram · Ladies Unstitched Printed Karandi 3 piece,active,TRUE,KJC-LU-ALK-10116,shopify,5,deny
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-17-24-2-brown,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10117,shopify,5,deny
alkaram-3-pc-printed-lawn-suit-with-lawn-dupatta-ss-19-1-24-2-black,Alkaram · Ladies Unstitched 3 piece,active,TRUE,KJC-LU-ALK-10118,shopify,5,deny
alkaram-3-pc-printed-lawn-suit-with-poly-chiffon-dupatta-ss-19-24-2-orange,Alkaram · Ladies Unstitched Printed 3 piece,active,TRUE,KJC-LU-ALK-10119,shopify,5,deny
alkaram-3-pc-embroidered-lawn-suit-with-chiffon-dupatta-ss-43-24-yellow,Alkaram · Ladies Unstitched Printed 3 piece,active,TRUE,KJC-LU-ALK-10120,shopify,5,deny
alkaram-2-pc-printed-lawn-suit-with-lawn-dupatta-flrz-6-1-23-black,Alkaram · Ladies Unstitched Casual 2 piece,active,TRUE,KJC-LU-ALK-10121,shopify,5,deny
alkaram-2-pc-printed-lawn-suit-with-lawn-dupatta-flrz-17-1-23-red,Alkaram · Ladies Unstitched Casual 2 piece,active,TRUE,KJC-LU-ALK-10122,shopify,5,deny
alkaram-2-pc-printed-lawn-suit-with-lawn-dupatta-flrz-2-1-23-olive-green,Alkaram · Ladies Unstitched Casual 2 piece,active,TRUE,KJC-LU-ALK-10123,shopify,5,deny
