Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.by_fabric [single_line_text_field],Metafield: custom.by_pieces [single_line_text_field],Metafield: custom.by_type [single_line_text_field],Metafield: custom.by_color [single_line_text_field],_title_branded,_title_whitelabel,_source_brand,_source_url,_in_stock_at_source
alkaram-rts-shirt-trouser-dupatta-ms146-3p26-purple,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3, colour:Purple",FALSE,Title,Default Title,KJC-LU-ALK-10311,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/MS-146.1-26-Purple-1.jpg?v=1768386263,1,Ladies Unstitched 3 piece,draft,,3 piece,,Purple,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ms146-3p26-purple,yes
alkaram-rts-shirt-trouser-dupatta-ec98-26-teal,Alkaram · Ladies Unstitched Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10312,shopify,0,deny,manual,2793.00,3990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC98-26-Teal-1_8bfeb896-e629-499c-9868-9af3c277960c.jpg?v=1768051216,1,Ladies Unstitched Lawn 3 piece,draft,Lawn,3 piece,,,Alkaram · Ladies Unstitched Lawn 3 piece,Ladies Unstitched Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec98-26-teal,yes
alkaram-rts-shirt-trouser-dupatta-ec98-3p26-purple,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3, colour:Purple",FALSE,Title,Default Title,KJC-LU-ALK-10313,shopify,0,deny,manual,3990.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/ChatGPTImageJul24_2026_02_19_51PMcopy.jpg_2.jpg?v=1787556123,1,Ladies Unstitched 3 piece,draft,,3 piece,,Purple,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec98-3p26-purple,yes
alkaram-rts-shirt-trouser-dupatta-ec97-26-purple,Alkaram · Ladies Unstitched Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3, colour:Purple",FALSE,Title,Default Title,KJC-LU-ALK-10314,shopify,0,deny,manual,3003.00,4290.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC97-26-Purple-1_720d838d-b026-468d-b1a9-ccae31e660a9.jpg?v=1768051213,1,Ladies Unstitched Lawn 3 piece,draft,Lawn,3 piece,,Purple,Alkaram · Ladies Unstitched Lawn 3 piece,Ladies Unstitched Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec97-26-purple,yes
alkaram-rts-shirt-trouser-dupatta-ec96-26-grey,Alkaram · Ladies Unstitched 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10315,shopify,0,deny,manual,4590.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC96-26-Grey-1.jpg?v=1768896930,1,Ladies Unstitched 3 piece,draft,,3 piece,,,Alkaram · Ladies Unstitched 3 piece,Ladies Unstitched 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec96-26-grey,yes
alkaram-rts-shirt-trouser-ec95-26-beige,Alkaram · Ladies Unstitched Lawn 2 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:2",FALSE,Title,Default Title,KJC-LU-ALK-10316,shopify,0,deny,manual,3003.00,4290.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC95-26-Beige-1_91677164-9000-499c-a357-3fc96bf59f52.jpg?v=1768051210,1,Ladies Unstitched Lawn 2 piece,draft,Lawn,2 piece,,,Alkaram · Ladies Unstitched Lawn 2 piece,Ladies Unstitched Lawn 2 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-ec95-26-beige,yes
alkaram-rts-shirt-trouser-dupatta-ec94-26-yellow,Alkaram · Ladies Unstitched Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10317,shopify,0,deny,manual,3353.00,4790.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC94-26-Yellow-1_e787fb7c-88d7-438d-bd4b-f50a5ca30583.jpg?v=1768051208,1,Ladies Unstitched Lawn 3 piece,draft,Lawn,3 piece,,,Alkaram · Ladies Unstitched Lawn 3 piece,Ladies Unstitched Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec94-26-yellow,yes
alkaram-rts-shirt-trouser-dupatta-ec93-26-brown,Alkaram · Ladies Unstitched Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10318,shopify,0,deny,manual,4590.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC93-26-Brown-1.jpg?v=1768393783,1,Ladies Unstitched Lawn 3 piece,draft,Lawn,3 piece,,,Alkaram · Ladies Unstitched Lawn 3 piece,Ladies Unstitched Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec93-26-brown,yes
alkaram-rts-shirt-trouser-dupatta-ec92-26-off-white,Alkaram · Ladies Unstitched Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10319,shopify,0,deny,manual,3353.00,4790.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC92-26-Off_White-1_4b44b43d-a091-4ffa-ac3a-8d3621ab90e6.jpg?v=1768051205,1,Ladies Unstitched Lawn 3 piece,draft,Lawn,3 piece,,,Alkaram · Ladies Unstitched Lawn 3 piece,Ladies Unstitched Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec92-26-off-white,yes
alkaram-rts-shirt-trouser-dupatta-ec91-26-green,Alkaram · Ladies Unstitched Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10320,shopify,0,deny,manual,3353.00,4790.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC91-26-Green-1.jpg?v=1768393774,1,Ladies Unstitched Lawn 3 piece,draft,Lawn,3 piece,,,Alkaram · Ladies Unstitched Lawn 3 piece,Ladies Unstitched Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec91-26-green,yes
alkaram-rts-shirt-trouser-dupatta-ec84-26-white,Alkaram · Ladies Unstitched Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10321,shopify,0,deny,manual,4193.00,5990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC84-26-White-1.jpg?v=1768896897,1,Ladies Unstitched Lawn 3 piece,draft,Lawn,3 piece,,,Alkaram · Ladies Unstitched Lawn 3 piece,Ladies Unstitched Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec84-26-white,yes
alkaram-rts-shirt-trouser-dupatta-ec83-26-beige,Alkaram · Ladies Unstitched Lawn 3 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:3",FALSE,Title,Default Title,KJC-LU-ALK-10322,shopify,0,deny,manual,4473.00,6390.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC83-26-Beige-1.jpg?v=1768896878,1,Ladies Unstitched Lawn 3 piece,draft,Lawn,3 piece,,,Alkaram · Ladies Unstitched Lawn 3 piece,Ladies Unstitched Lawn 3 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-dupatta-ec83-26-beige,yes
alkaram-rts-shirt-dupatta-ec106-26-blue,Alkaram · Ladies Unstitched Lawn 2 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:2",FALSE,Title,Default Title,KJC-LU-ALK-10323,shopify,0,deny,manual,2093.00,2990.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC106-26-Blue-1_1ec216f9-5618-4f97-b2d0-aed243703996.jpg?v=1768051182,1,Ladies Unstitched Lawn 2 piece,draft,Lawn,2 piece,,,Alkaram · Ladies Unstitched Lawn 2 piece,Ladies Unstitched Lawn 2 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-dupatta-ec106-26-blue,yes
alkaram-rts-shirt-trouser-ec105-26-brown,Alkaram · Ladies Unstitched Lawn 2 piece,,Alkaram,Ladies Unstitched,"brand:Alkaram, gender:ladies, unstitched, fabric:Lawn, pieces:2",FALSE,Title,Default Title,KJC-LU-ALK-10324,shopify,0,deny,manual,3213.00,4590.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0623/6481/1444/files/EC105-26-Brown-1.jpg?v=1768896947,1,Ladies Unstitched Lawn 2 piece,draft,Lawn,2 piece,,,Alkaram · Ladies Unstitched Lawn 2 piece,Ladies Unstitched Lawn 2 piece,Alkaram,https://alkaramstudio.com/products/rts-shirt-trouser-ec105-26-brown,yes
